beds,city,Date,clean Size,type,baths,neighborhood,price,neighborhood
0,Jalpaiguri,2025-02-19,720,Apartment,,Mansarovar Township (Siliguri WB),500000,Mansarovar Township (Siliguri WB)
0,Lucknow,2025-02-19,,Land,,Sultanpur Road,750000,Sultanpur Road
2,Coimbatore,2025-02-19,,Apartment,,Singanallur,880000,Singanallur
2,Bangalore,2025-02-19,658-1003,Apartment,,Soukya Road,889000,Soukya Road
2,Coimbatore,2025-02-19,,Villa + Land,,Sulur,948000,Sulur
0,Kakinada,2025-02-19,133,Land,,Nadakuduru,1064000,Nadakuduru
0,Lucknow,2025-02-19,1000,Apartment,,Budheshwar,1099000,Budheshwar
0,Kanyakumari,2025-02-02,435,Land,,Thiruppathisaram,1100000,Thiruppathisaram
2,Coimbatore,2025-02-19,,Villa + Land,,Sulur,1240000,Sulur
0,Chennai,2025-02-19,630-4000,Land,,Sriperumbudur,1260000,Sriperumbudur
0,Vijayawada,2025-02-19,1215.46 - 2702.6,Land,,Pamarru,1350000,Pamarru
0,Kochi,2024-11-19,940,Apartment,,Chalikavattom,1500000,Chalikavattom
2,Coimbatore,2025-02-19,,Villa,,Vellakinar,1500000,Vellakinar
0,Patna,2025-02-19,1200,Apartment,,Bihta,1558000,Bihta
0,Bhubaneswar,2025-02-19,1200-2000,Apartment,,Phulnakhara,1559000,Phulnakhara
0,Coimbatore,2025-02-19,,Land,,Karamadai,1859000,Karamadai
0,Chennai,2025-02-19,794-1510,Land,,Pattabiram,1984000,Pattabiram
0,Coimbatore,2025-02-19,2874,Apartment,,Sulur,1998000,Sulur
0,Hyderabad,2025-01-19,2160,Apartment,,Mominpet,2000000,Mominpet
0,Vijayawada,2025-02-19,1503,Apartment,,Penamaluru,2004000,Penamaluru
0,Vijayawada,2025-02-19,1647,Apartment,,Penamaluru,2196000,Penamaluru
0,Bangalore,2025-02-19,799-1258,Apartment,,Jigani,2317000,Jigani
0,Jalpaiguri,2025-02-19,4319,Apartment,,Ambari falakata,2400000,Ambari falakata
0,Hyderabad,2025-02-19,1350,Apartment,,Nawabpet,2400000,Nawabpet
0,Chennai,2025-02-19,801 - 1979 .,Land,,Kandigai,2723000,Kandigai
0,Hyderabad,2025-01-19,1665,Apartment,,Shankarpally,2960000,Shankarpally
0,Kanyakumari,2025-02-15,2178,Land,,Thuckalay,3000000,Thuckalay
2,Jalpaiguri,2025-02-19,3200,House,1,Maynaguri,3000000,Maynaguri
0,Visakhapatnam,2024-11-19,1503,Apartment,,Bhogapuram,3000000,Bhogapuram
2,Visakhapatnam,2025-02-19,895 - 1050,Apartment,2,Gajuwaka,3133000,Gajuwaka
2,Jalpaiguri,2025-02-19,890,Flat,2,Rajbari Para,3500000,Rajbari Para
1,Pune,2025-02-17,640,Apartment,1,Kirkatwadi,3500000,Kirkatwadi
0,Kanyakumari,2025-02-18,2613,Land,,Kulasekharam,3600000,Kulasekharam
